component_id	serovar	reference_strain	gene_name	aliases	accession	gene_order	orientation	sequence_length	upstream_neighbor	downstream_neighbor	functional_category	source_publication	doi	local_fasta	sequence_sha256	notes
S05_KC795339.1	5	Nagasaki	lsgB5		KC795339.1	4	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	969	wzx5	funK5	other_biosynthesis_or_modification	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795339_1.fasta	11183ffac9648456f82da3a79c3d3ce834d38e9a6b37b1305e9639d5a67ed69b	DOWNLOADED
S05_KC795340.1	5	Nagasaki	funK5		KC795340.1	5	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1008	lsgB5	wcwK5	function_unknown	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795340_1.fasta	e7bc1fc45e9017668b5dc258efd0c6963c7a343c9a0d8a8237f3c491f3e7f9fc	DOWNLOADED
S05_KC795341.1	5	Nagasaki	wcwK5		KC795341.1	6	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1032	funK5	wcfQ5	glycosyltransferase	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795341_1.fasta	385eb08ddea249f11a242fdd0d643318b89c8baa26f572d161508f2b367d8804	DOWNLOADED
S05_KC795342.1	5	Nagasaki	wcfQ5		KC795342.1	7	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	819	wcwK5	wbgX5	glycosyltransferase	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795342_1.fasta	1d77b8df23bdf9fa544f6982564f22b354b1ad22c5e1938239c79f04c85274cd	DOWNLOADED
S05_KC795343.1	5	Nagasaki	wbgX5		KC795343.1	8	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1152	wcfQ5	wbgY5	glycosyltransferase	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795343_1.fasta	8cc4881ebe3755d892a37c98c154d34f25147ddb009bb3f0029d904585cdb128	DOWNLOADED
S05_KC795344.1	5	Nagasaki	wbgY5		KC795344.1	9	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	594	wbgX5	capD5	glycosyltransferase	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795344_1.fasta	e72b7e7d82154a94a41d569fdec7501fa17a0448a6cbda8ec776bc9e66353c32	DOWNLOADED
S05_KC795345.1	5	Nagasaki	capD5		KC795345.1	10	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1941	wbgY5	wza5	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795345_1.fasta	106dcad3612473486dc30f50f2c6518b80a904c19b954cb1472f90c72b6a3f75	DOWNLOADED
S05_KC795346.1	5	Nagasaki	wza5		KC795346.1	11	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1155	capD5	wzb5	polysaccharide_export	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795346_1.fasta	d3ee60bd74eba7b1e8d974f3e84f1607ca3c6e2a51de1b3134278b05e8cd58b3	DOWNLOADED
S05_KC795348.1	5	Nagasaki	wzb5		KC795348.1	12	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	444	wza5	wzs5	polysaccharide_export	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795348_1.fasta	ecd5b8871dd77d6b194df0c6dd8b8f6ebf7a75a4ec07312fef0276ee23e832f7	DOWNLOADED
S05_KC795349.1	5	Nagasaki	wzs5		KC795349.1	13	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	2088	wzb5	iscR5	polysaccharide_export	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795349_1.fasta	5a2116cbaaa0955f6b0bff58b7669acd2316f117cc5bb45896138ef57d1e3092	DOWNLOADED
S05_KC795350.1	5	Nagasaki	iscR5		KC795350.1	14	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	447	wzs5		transcriptional_regulator	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795350_1.fasta	3d36b1d5173c114fa93d595f11b5cdd655d7007e7507d5c3f2cfb829a1d6530f	DOWNLOADED
S06_KC795365.1	6	131	funA6		KC795365.1	1	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	582		neuA6	function_unknown	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795365_1.fasta	b1cf46d811267700227903c7a4b139af85c1c83b7745842316df3c225abfb4f4	DOWNLOADED
S06_KC795367.1	6	131	neuA6		KC795367.1	2	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	681	funA6	wzx6	other_biosynthesis_or_modification	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795367_1.fasta	3297cb05c9e8455bb64758e73be8a9c2ca95aae997741695b7886f8d07fde12a	DOWNLOADED
S06_KC795368.1	6	131	wzx6		KC795368.1	3	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1197	neuA6	lsgB6	polysaccharide_biosynthesis_protein	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795368_1.fasta	ac1f800e129a064d16b4f2595d9dff6fa4d6f4afd2c7a7f7614a71ac2d3c6912	DOWNLOADED
S06_KC795369.1	6	131	lsgB6		KC795369.1	4	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	972	wzx6	gltH6	other_biosynthesis_or_modification	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795369_1.fasta	35ed2d5589b2289ed1f26c5af8e9804dc77aeddb1013eb82a1c9e027b22691ca	DOWNLOADED
S06_KC795370.1	6	131	gltH6		KC795370.1	5	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	825	lsgB6	funL6	glycosyltransferase	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795370_1.fasta	23ddd8d439ed4405a6f6b013f428f6109bcb7910469fc3383d5e27a25e7eb4c6	DOWNLOADED
S06_KC795371.1	6	131	funL6		KC795371.1	6	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1167	gltH6	gltI6	function_unknown	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795371_1.fasta	18ce15f77ce7391a42544c728c7e5bb75c3af5ecabdfbf9857c2fa578867849a	DOWNLOADED
S06_KC795372.1	6	131	gltI6		KC795372.1	7	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	996	funL6	wcfQ6	glycosyltransferase	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795372_1.fasta	ca2d7b1d7e17576ab16fdf7a1c91213d339997ff58c6b4a7c872e8c3c698a32d	DOWNLOADED
S06_KC795373.1	6	131	wcfQ6		KC795373.1	8	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	816	gltI6	wbgX6	glycosyltransferase	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795373_1.fasta	425bfbc4532afdd11d37168228aca715fa212e56e1d7ab6cd033e8fc7ea55777	DOWNLOADED
S06_KC795374.1	6	131	wbgX6		KC795374.1	9	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1152	wcfQ6	wbgY6	glycosyltransferase	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795374_1.fasta	558b0818197abfc5ed827270a35170e2932d0def8e1badfcfc66d0d40aac4e90	DOWNLOADED
S06_KC795375.1	6	131	wbgY6		KC795375.1	10	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	594	wbgX6	funM6	glycosyltransferase	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795375_1.fasta	25da52b94d5e1b9048e03ba60a120c2836d8664d4dbdbd5b2579507131ccf686	DOWNLOADED
S06_KC795376.1	6	131	funM6		KC795376.1	11	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1293	wbgY6	funN6	function_unknown	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795376_1.fasta	f620a0966f2aff2b106fd656d95e65a6ed84bc66eeb461a8b3bba0e30a3f950c	DOWNLOADED
S06_KC795377.1	6	131	funN6		KC795377.1	12	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	522	funM6	capD6	function_unknown	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795377_1.fasta	acec3a9c7a8c6a40a81be6199f4dbc5593fb6a34aa44ae09ea362614cfed6de5	DOWNLOADED
S06_KC795378.1	6	131	capD6		KC795378.1	13	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1941	funN6	wza6	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795378_1.fasta	4ba299b39d1329e2f2dfdd6d17d8791cb14cf4ca71f0bcdd35f3aa65fdbb1946	DOWNLOADED
S06_KC795379.1	6	131	wza6		KC795379.1	14	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1155	capD6	wzb6	polysaccharide_export	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795379_1.fasta	cf9acf2383e8ed5a79c79b1dcd271875a7024e74b6fd0ef0d0937382a0211722	DOWNLOADED
S06_KC795381.1	6	131	wzb6		KC795381.1	15	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	444	wza6	wzs6	polysaccharide_export	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795381_1.fasta	ecd5b8871dd77d6b194df0c6dd8b8f6ebf7a75a4ec07312fef0276ee23e832f7	DOWNLOADED
S06_KC795382.1	6	131	wzs6		KC795382.1	16	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	2088	wzb6	iscR6	polysaccharide_export	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795382_1.fasta	7c7a911db3ac89d270ed26cc3af5e1aef2a32f53307f8bbe288e96eec9aa3ca3	DOWNLOADED
S06_KC795383.1	6	131	iscR6		KC795383.1	17	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	447	wzs6		transcriptional_regulator	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795383_1.fasta	235a7558e94b3ca4bed1f0f8ba2607a16ce7714a3963d0e605b8b06df11b8862	DOWNLOADED
S07_KC795384.1	7	174	funA7		KC795384.1	1	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	582		neuA7	function_unknown	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795384_1.fasta	7e098f867002eba5825ab08860d4e4cf4b3a4a3779cdbd79efa3abd1fea0bc79	DOWNLOADED
S07_KC795386.1	7	174	neuA7		KC795386.1	2	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	681	funA7	wzx7	other_biosynthesis_or_modification	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795386_1.fasta	b38282f0e85f6374ff48b57f30f4099c6fd72af9674eee7086a97c518d88d1cd	DOWNLOADED
S07_KC795387.1	7	174	wzx7		KC795387.1	3	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1197	neuA7	astA7	polysaccharide_biosynthesis_protein	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795387_1.fasta	acc3fd131083970f8b625d356e4e1f54995950f19b1a1745d7479b89a6fce047	DOWNLOADED
S07_KC795388.1	7	174	astA7		KC795388.1	4	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1008	wzx7	funP7	other_biosynthesis_or_modification	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795388_1.fasta	75d8e7149a3065cfb173c74034c89ddb729861f2edb32e09fabf7e80e8e2f5f5	DOWNLOADED
S07_KC795389.1	7	174	funP7		KC795389.1	5	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	795	astA7	funQ7	function_unknown	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795389_1.fasta	c0e1638b777f22837522b07413c0563576ad443eda4e270de2653fdf340f581d	DOWNLOADED
S07_KC795390.1	7	174	funQ7		KC795390.1	6	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1182	funP7	gltJ7	function_unknown	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795390_1.fasta	30219d0dc1cbbbedc90bbe863e25ecc8b3a544a48ca21084b91fa7a95eaa8a69	DOWNLOADED
S07_KC795391.1	7	174	gltJ7		KC795391.1	7	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1215	funQ7	cap5E7	glycosyltransferase	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795391_1.fasta	8de61a83e4ad8fbbb7f374e8e9e9db979b4a436cbb45b02161d52b7275f98b56	DOWNLOADED
S07_KC795392.1	7	174	cap5E7		KC795392.1	8	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1050	gltJ7	ndeA7	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795392_1.fasta	36eeac14ed9071742ba3c4ed12c54ed346597ee33b4c3cd44d27714c16698898	DOWNLOADED
S07_KC795393.1	7	174	ndeA7		KC795393.1	9	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1113	cap5E7	naeA7	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795393_1.fasta	cc41df41c3d6601fe3a4689ed51cfc3e17ea1a7486f66effc72a78afdeed049a	DOWNLOADED
S07_KC795394.1	7	174	naeA7		KC795394.1	10	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1131	ndeA7	gltA7	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795394_1.fasta	9fe318d526378d0fccb4a2030253181e5b1c6d480b1b2a028fa725f6afdc4be8	DOWNLOADED
S07_KC795395.1	7	174	gltA7		KC795395.1	11	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1218	naeA7	ndeB7	glycosyltransferase	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795395_1.fasta	55fbf1d7ff5bb6a5e9a229a76ba64ad424bf54dcf3efde74cbaf4644b1ebff70	DOWNLOADED
S07_KC795396.1	7	174	ndeB7		KC795396.1	12	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	620	gltA7	pilT7	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795396_1.fasta	99f13ffc77b4f07c271087b18e15b9e6fbc6232363394e2f48ebbac7c5e89985	DOWNLOADED
S07_KC795397.1	7	174	pilT7		KC795397.1	13	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	393	ndeB7	cap5M7	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795397_1.fasta	87690d63bb24976013df7278452a03dc0cbc55c9773f220c164faa6909c47aac	DOWNLOADED
S07_KC795398.1	7	174	cap5M7		KC795398.1	14	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	549	pilT7	capD7	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795398_1.fasta	542a800e48ff769df95e7c275495c549ffb6b6082308333b238d0ebe4a6f08c6	DOWNLOADED
S07_KC795399.1	7	174	capD7		KC795399.1	15	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1950	cap5M7	wza7	other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795399_1.fasta	2d9e3c95ce6642b815bf7641ac03aafd8ca47e13b7f6102be1061373686d0026	DOWNLOADED
S07_KC795400.1	7	174	wza7		KC795400.1	16	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1155	capD7	wzb7	polysaccharide_export	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795400_1.fasta	f4f2021c3a14c442668c239b910c94895311b41acf17c48d14f63abf2b19f3da	DOWNLOADED
S07_KC795402.1	7	174	wzb7		KC795402.1	17	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	444	wza7	wzs7	polysaccharide_export	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795402_1.fasta	ecd5b8871dd77d6b194df0c6dd8b8f6ebf7a75a4ec07312fef0276ee23e832f7	DOWNLOADED
S07_KC795403.1	7	174	wzs7		KC795403.1	18	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	2088	wzb7	iscR7	polysaccharide_export	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795403_1.fasta	6f0aabd5407647527c6ff3de4b49e7e1bdb9820d49bd7b0d622acda8027cbbd3	DOWNLOADED
S07_KC795404.1	7	174	iscR7		KC795404.1	19	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	447	wzs7		transcriptional_regulator	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795404_1.fasta	4cb911575ffc6cc9f28b867cea13cbd3670623f0cde5be82020979838145f464	DOWNLOADED
S08_KC795405.1	8	C5	funA8		KC795405.1	1	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	582		neuA8	function_unknown	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795405_1.fasta	73c6c432a9fff9684a42c816c399a3ea4d1fedbb10dee52cf1799e8e47ea2523	DOWNLOADED
S08_KC795406.1	8	C5	neuA8		KC795406.1	2	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	711	funA8	wzx8	other_biosynthesis_or_modification	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795406_1.fasta	df15f9d2d79d1199f5b38c7bf9fc7dd8201bef094350d061f18b6cb8be92ed76	DOWNLOADED
S08_KC795407.1	8	C5	wzx8		KC795407.1	3	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1197	neuA8	astA8	polysaccharide_biosynthesis_protein	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795407_1.fasta	396786429d6f94baf798807c876158187bf10d52cdd2dd025318f735226d9f6d	DOWNLOADED
S08_KC795408.1	8	C5	astA8		KC795408.1	4	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1008	wzx8	gltH8	other_biosynthesis_or_modification	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795408_1.fasta	e6990f6700557647075ce0cf050144a23fe83c5615dd5f8dc5de694370b42ea4	DOWNLOADED
S08_KC795409.1	8	C5	gltH8		KC795409.1	5	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1002	astA8	adlA8	glycosyltransferase	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795409_1.fasta	c89bfb9c4d11201fb5739106041bf436bd209898a332e14561fa935ff12c746b	DOWNLOADED
S08_KC795410.1	8	C5	adlA8		KC795410.1	6	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1158	gltH8	scdA8	other_biosynthesis_or_modification	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795410_1.fasta	bef95e446eb715dd04c69f8398ba5f4ecd9c54eed9c4d30c4c70525090817086	DOWNLOADED
S08_KC795411.1	8	C5	scdA8		KC795411.1	7	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1203	adlA8	funS8	other_biosynthesis_or_modification	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795411_1.fasta	7c7c53d1d306ea30813e9ce6d977a9e0ff072232ed3898ce97c6a6e048e7517f	DOWNLOADED
S08_KC795412.1	8	C5	funS8		KC795412.1	8	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	801	scdA8	gltK8	function_unknown	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795412_1.fasta	23acffea5f22c29d885aaf2e5c818719104b49f1d99eff8bd14e3796225f0548	DOWNLOADED
S08_KC795413.1	8	C5	gltK8		KC795413.1	9	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	819	funS8	wbgX8	glycosyltransferase	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795413_1.fasta	329cf9ea5a3510926c31fe47f89a7a6e001f7d078d92efd96b9e9cf77dedce63	DOWNLOADED
S08_KC795414.1	8	C5	wbgX8		KC795414.1	10	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1152	gltK8	wbgY8	glycosyltransferase	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795414_1.fasta	246cc8553306f6e79df11f5b904257d8b99d223e3016175f0305c080e59faf58	DOWNLOADED
S08_KC795415.1	8	C5	wbgY8		KC795415.1	11	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	594	wbgX8	funM8	glycosyltransferase	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795415_1.fasta	25da52b94d5e1b9048e03ba60a120c2836d8664d4dbdbd5b2579507131ccf686	DOWNLOADED
S08_KC795416.1	8	C5	funM8		KC795416.1	12	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1293	wbgY8	funN8	function_unknown	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795416_1.fasta	f620a0966f2aff2b106fd656d95e65a6ed84bc66eeb461a8b3bba0e30a3f950c	DOWNLOADED
S08_KC795417.1	8	C5	funN8		KC795417.1	13	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	522	funM8	wza8	function_unknown	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795417_1.fasta	acec3a9c7a8c6a40a81be6199f4dbc5593fb6a34aa44ae09ea362614cfed6de5	DOWNLOADED
S08_KC795418.1	8	C5	wza8		KC795418.1	14	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1155	funN8	wzb8	polysaccharide_export	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795418_1.fasta	98e4a5559f7d10f2aef741311e1fa65b610269781eb3fe3a4513a9e4ad3f5229	DOWNLOADED
S08_KC795420.1	8	C5	wzb8		KC795420.1	15	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	444	wza8	wzs8	polysaccharide_export	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795420_1.fasta	ecd5b8871dd77d6b194df0c6dd8b8f6ebf7a75a4ec07312fef0276ee23e832f7	DOWNLOADED
S08_KC795421.1	8	C5	wzs8		KC795421.1	16	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	2088	wzb8	iscR8	polysaccharide_export	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795421_1.fasta	bc9fa21082f4194188f91f6b2316162e4f41b6f0dccf296f74d389e0597da6c5	DOWNLOADED
S08_KC795422.1	8	C5	iscR8		KC795422.1	17	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	447	wzs8	capD8	transcriptional_regulator	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795422_1.fasta	235a7558e94b3ca4bed1f0f8ba2607a16ce7714a3963d0e605b8b06df11b8862	DOWNLOADED
S08_KC853023.1	8	C5	capD8		KC853023.1	18	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1933	iscR8		other_not_classified	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC853023_1.fasta	d77f5b7514e08cc2229d933ac3d3259ecc83d3bccbefb211475ce633c3666c21	DOWNLOADED
S09_KC795423.1	9	D74	funA9		KC795423.1	1	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	582		neuA9	function_unknown	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795423_1.fasta	ac0ca08b94e3f5b3922b057d67b7ec646638eea1b81da2c359a0928108ca4e56	DOWNLOADED
S09_KC795425.1	9	D74	neuA9		KC795425.1	2	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	681	funA9	wzx9	other_biosynthesis_or_modification	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795425_1.fasta	85537866b775bfbbc775b0a498fdf56790967ddfe35466b588a3b8fc7a756d51	DOWNLOADED
S09_KC795426.1	9	D74	wzx9		KC795426.1	3	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1197	neuA9	astA9	polysaccharide_biosynthesis_protein	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795426_1.fasta	595606df88b98fab777f0449e533863a9b8f8ad0959d033294a77ed2993e5ea8	DOWNLOADED
S09_KC795427.1	9	D74	astA9		KC795427.1	4	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	1008	wzx9	funP9	other_biosynthesis_or_modification	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795427_1.fasta	752e7ea3f1969bf5eac687c998f1838006e7b1758d310a26ce2e7a10b5850c72	DOWNLOADED
S09_KC795428.1	9	D74	funP9		KC795428.1	5	REFERENCE_FASTA_ORDER_PLUS_ASSUMED	810	astA9	funV9	function_unknown	Howell et al. 2013 J Bacteriol	10.1128/JB.00471-13	data/reference_sequences/howell2013_cds/all_cds/KC795428_1.fasta	e7b97d7eaffab91c29da864c7abf9535bc9a5337d491870e2faf125941dde263	DOWNLOADED
